chain, name, latitude, longitude, address, city, zip, department, phone, hours, store_id, is_address_computed, is_location_computed, key, ignored, ignore_reason, overload_chain_name, mandatory_coords, country_code
shopmium,Shopmium Poissy,48.92820769999999,2.0446661,119 rue du General de Gaulle,Poissy,78300,,0130068308,[],,true,true,sfr:01 30 06 83 08,false,,,true,fr
shopmium,Shopmium Osny,49.0700239,2.062715,c.cial Leclerc chemin des Hayette la Croix Saint Emilion Cellule D36,Osny,95520,,0130170088,[],,true,true,sfr:01 30 17 00 88,false,,,true,fr
shopmium,Shopmium Rambouillet,48.6440114,1.8232859,74 av General de Gaulle,Rambouillet,78120,,0130462988,[],,true,true,sfr:01 30 46 29 88,false,,,true,fr
shopmium,Shopmium Plaisir,48.817223,1.949075,c.cial Auchan Grand Plaisir D161 les Vicomtes Local 28,Plaisir,78370,,0130554207,[],,true,true,sfr:01 30 55 42 07,false,,,true,fr
shopmium,Shopmium Les Clayes Sous Bois,48.82342,1.976374,av Henri Barbusse c.cial Clayes 2,Les Clayes Sous Bois,78340,,0130554621,[],,true,true,sfr:01 30 55 46 21,false,,,true,fr
shopmium,Shopmium Saint Quentin En Yvelines,48.771652,2.0192,Galerie Ciale Saint Quentin Local 102,Saint Quentin En Yvelines,78180,,0130640108,[],,true,true,sfr:01 30 64 01 08,false,,,true,fr
shopmium,Shopmium Flins Sur Seine,48.962687,1.87006,c.cial Carrefour 65 chemin Departemental 14,Flins Sur Seine,78410,,0130900752,[],,true,true,sfr:01 30 90 07 52,false,,,true,fr
shopmium,Shopmium Osny,49.0700239,2.062715,ZAC de l'Oseraie RD 915,Osny,95520,,0134205400,[],,true,true,sfr:01 34 20 54 00,false,,,true,fr
shopmium,Shopmium Cergy,49.03561699999999,2.060325,c.cial les 3 Fontaines Niveau Bas,Cergy,95000,,0134250446,[],,true,true,sfr:01 34 25 04 46,false,,,true,fr
shopmium,Shopmium Saint Germain En Laye,48.8971077,2.0902427,10 rue de Pologne,Saint Germain En Laye,78100,,0134510800,[],,true,true,sfr:01 34 51 08 00,false,,,true,fr
shopmium,Shopmium L'isle Adam,49.112288,2.217872,c.cial Carrefour Local No 104 le Grand Val N922,L'isle Adam,95290,,0134692258,[],,true,true,sfr:01 34 69 22 58,false,,,true,fr
shopmium,Shopmium Mantes La Jolie,48.9894922,1.7160265,24 rue Gambetta,Mantes La Jolie,78200,,0134979658,[],,true,true,sfr:01 34 97 96 58,false,,,true,fr
shopmium,Shopmium Maisons Laffitte,48.9469907,2.1463743,23 bis av de Longueil,Maisons Laffitte,78600,,0139125974,[],,true,true,sfr:01 39 12 59 74,false,,,true,fr
shopmium,Shopmium Sartrouville,48.941106,2.158431,c.cial du Plateau av Robert Schumman,Sartrouville,78500,,0139150346,[],,true,true,sfr:01 39 15 03 46,false,,,true,fr
shopmium,Shopmium Versailles,48.8068118,2.1312545,9 rue Ducis,Versailles,78000,,0139240808,[],,true,true,sfr:01 39 24 08 08,false,,,true,fr
shopmium,Shopmium Moisselles,49.04047,2.341543,c.cial Leclerc Moisselles,Moisselles,95570,,0139350859,[],,true,true,sfr:01 39 35 08 59,false,,,true,fr
shopmium,Shopmium Velizy Villacoublay,48.781857,2.218229,Fnac Galerie Ciale Velizy 2 av de l Europe,Velizy Villacoublay,78140,,0139459412,[],,true,true,sfr:01 39 45 94 12,false,,,true,fr
